"battery_power","blue","clock_speed","dual_sim","fc","four_g","int_memory","m_dep","mobile_wt","n_cores","pc","px_height","px_width","ram","sc_h","sc_w","talk_time","three_g","touch_screen","wifi","price_range","battery_power_group","clock_speed_group","fc_group","int_memory_group","m_dep_group","mobile_wt_group","pc_group","px_height_group","px_width_group","sc_h_group","sc_w_group","talk_time_group"
842,"0",2.2,"0",1,"0",7,0.6,188,"2",2,20,756,"2048",9,7,19,"0","0","1","1","1","3","0","0","2","4","0","0","0","1","1","4"
1021,"1",0.5,"1",0,"1",53,0.7,136,"3",6,905,1988,"2048",17,3,7,"1","1","0","2","1","0","0","4","3","2","1","2","4","4","0","1"
563,"1",0.5,"1",2,"1",41,0.9,145,"5",6,1263,1716,"2048",11,2,9,"1","1","0","2","0","0","0","3","4","2","1","3","4","2","0","1"
615,"1",2.5,"0",0,"0",10,0.8,131,"6",9,1216,1786,"2048",16,8,11,"1","0","0","2","0","4","0","0","3","2","2","3","4","3","2","2"
1821,"1",1.2,"0",13,"1",44,0.6,141,"2",14,1208,1212,"1024",8,2,15,"1","1","0","1","4","1","3","3","2","2","3","3","2","1","0","3"
1859,"0",0.5,"1",3,"0",22,0.7,164,"1",7,1004,1654,"1024",17,1,10,"1","0","0","1","4","0","0","1","3","3","1","2","3","4","0","2"
1821,"0",1.7,"0",4,"1",10,0.8,139,"8",10,381,1018,"2048",13,8,18,"1","0","1","3","4","2","1","0","3","2","2","0","1","2","2","4"
1954,"0",0.5,"1",0,"0",24,0.8,187,"4",0,512,1149,"512",16,3,5,"1","1","1","0","4","0","0","1","3","4","0","1","2","3","0","0"
1445,"1",0.5,"0",0,"0",53,0.7,174,"7",14,386,836,"1024",17,1,20,"1","0","0","0","3","0","0","4","3","3","3","0","1","4","0","4"
509,"1",0.6,"1",2,"1",9,0.1,93,"5",15,1137,1224,"512",19,10,12,"1","0","0","0","0","0","0","0","0","0","3","2","2","4","2","2"
769,"1",2.9,"1",0,"0",9,0.1,182,"5",1,248,874,"2048",5,2,7,"0","0","0","3","0","4","0","0","0","4","0","0","1","0","0","1"
1520,"1",2.2,"0",5,"1",33,0.5,177,"8",18,151,1005,"2048",14,9,13,"1","1","1","3","3","3","1","2","2","4","4","0","1","3","2","3"
1815,"0",2.8,"0",2,"0",33,0.6,159,"4",17,607,748,"1024",18,0,2,"1","0","0","1","4","4","0","2","2","3","4","1","0","4","0","0"
